date,merchant,amount,category,account,notes
2025-01-03,The Church of Jesus Christ of Latter-day Saints,-2000.0,Tithing,Primary Checking (...8121),
2025-02-04,The Church of Jesus Christ of Latter-day Saints,-888.0,Tithing,Primary Checking (...8121),
2025-05-14,The Church of Jesus Christ of Latter-day Saints,-700.0,Tithing,Primary Checking (...8121),
2025-05-14,The Church of Jesus Christ of Latter-day Saints,-700.0,Tithing,Primary Checking (...8121),
2025-07-08,The Church of Jesus Christ of Latter-day Saints,-700.0,Tithing,Primary Checking (...8121),
2025-07-08,The Church of Jesus Christ of Latter-day Saints,-700.0,Tithing,Primary Checking (...8121),
2025-08-05,The Church of Jesus Christ of Latter-day Saints,-700.0,Tithing,Primary Checking (...8121),
2025-08-05,The Church of Jesus Christ of Latter-day Saints,-450.0,Tithing,Primary Checking (...8121),
2025-09-23,The Church of Jesus Christ of Latter-day Saints,-700.0,Tithing,Primary Checking (...8121),
2025-09-23,The Church of Jesus Christ of Latter-day Saints,-450.0,Tithing,Primary Checking (...8121),
2025-09-23,The Church of Jesus Christ of Latter-day Saints,-700.0,Tithing,Primary Checking (...8121),
2025-11-04,The Church of Jesus Christ of Latter-day Saints,-450.0,Tithing,Primary Checking (...8121),
2025-11-11,The Church of Jesus Christ of Latter-day Saints,-1400.0,Tithing,Primary Checking (...8121),
